step,time,sim_cpu,sim_mem,real_cpu,real_mem,action,reward,cum_reward,mode,health,deadlocks
54,10:25:13,100.0,9.96,0.0,70.9,⬆ Boost Memory,-6.5007,-290.3152,RL (Q-Learning),13,0
55,10:25:15,100.0,11.09,0.0,70.8,⏸ No Change,-6.4818,-296.797,RL (Q-Learning),13,0
56,10:25:16,100.0,13.9,0.0,70.8,⬆ Boost Memory,-6.435,-303.232,RL (Q-Learning),15,0
57,10:25:18,100.0,16.12,0.0,70.7,⬆ Boost CPU,-6.398,-309.63000000000005,RL (Q-Learning),17,0
58,10:25:19,100.0,17.41,0.0,70.8,⬇ Reduce CPU,-6.3765,-316.0065000000001,RL (Q-Learning),17,0
59,10:25:21,100.0,18.11,0.0,70.9,⬇ Reduce Memory,-6.3648,-322.3713000000001,RL (Q-Learning),18,0
60,10:25:22,100.0,16.81,0.0,70.7,⬇ Reduce Memory,-6.3865,-328.7578000000001,RL (Q-Learning),17,0
61,10:25:24,100.0,16.76,0.0,70.9,⏸ No Change,-6.3873,-335.14510000000007,RL (Q-Learning),17,0
62,10:25:25,100.0,19.04,0.0,70.8,⬆ Boost Memory,-6.3493,-341.4944000000001,RL (Q-Learning),18,0
63,10:25:27,100.0,17.89,0.0,70.9,⬆ Boost CPU,-6.3685,-347.8629000000001,RL (Q-Learning),18,0
64,10:25:28,100.0,16.89,0.0,70.9,⬇ Reduce CPU,-6.3852,-354.2481000000001,RL (Q-Learning),17,0
65,10:25:30,100.0,17.03,66.7,71.0,⬆ Boost Memory,-6.3828,-360.63090000000005,RL (Q-Learning),17,0
66,10:25:31,100.0,15.57,0.0,71.1,⏸ No Change,-6.4072,-367.03810000000004,RL (Q-Learning),16,0
67,10:25:33,100.0,14.74,0.0,71.1,⬆ Boost CPU,-6.421,-373.45910000000003,RL (Q-Learning),16,0
68,10:25:34,100.0,14.02,0.0,71.1,⬇ Reduce CPU,-6.433,-379.8921,RL (Q-Learning),15,0
69,10:25:36,100.0,13.78,0.0,71.1,⬆ Boost Memory,-6.437,-386.32910000000004,RL (Q-Learning),15,0
70,10:25:37,100.0,11.12,0.0,71.0,⬇ Reduce Memory,-6.4813,-392.8104,RL (Q-Learning),14,0
71,10:25:39,100.0,11.05,0.0,71.1,⏸ No Change,-6.4825,-399.29290000000003,RL (Q-Learning),13,0
72,10:25:40,100.0,10.51,0.0,71.0,⬆ Boost CPU,-6.4915,-405.7844,RL (Q-Learning),13,0
73,10:25:42,100.0,10.31,0.0,71.1,⬇ Reduce CPU,-6.4948,-412.2792,RL (Q-Learning),13,0
74,10:25:43,100.0,8.81,0.0,71.0,⬇ Reduce Memory,-6.5198,-418.799,RL (Q-Learning),12,0
75,10:25:45,100.0,8.81,0.0,71.0,⬆ Boost CPU,-6.5198,-425.31879999999995,RL (Q-Learning),12,0
76,10:25:46,100.0,8.82,0.0,71.0,⬇ Reduce CPU,-6.5197,-431.83849999999995,RL (Q-Learning),12,0
77,10:25:48,100.0,6.54,0.0,70.9,⬇ Reduce Memory,-6.5577,-438.39619999999996,RL (Q-Learning),11,0
78,10:25:49,100.0,6.05,0.0,69.8,⏸ No Change,-6.5658,-444.962,RL (Q-Learning),10,0
79,10:25:51,100.0,5.73,27.5,69.9,⏸ No Change,-6.5712,-451.53319999999997,RL (Q-Learning),10,0
80,10:25:52,100.0,6.31,27.9,69.9,⬆ Boost CPU,-6.5615,-458.0947,RL (Q-Learning),10,0
81,10:25:54,100.0,6.82,0.0,69.9,⬇ Reduce CPU,-6.553,-464.6477,RL (Q-Learning),11,0
82,10:25:55,100.0,3.98,80.0,70.0,⬇ Reduce Memory,-8.6003,-473.248,RL (Q-Learning),9,0
83,10:25:56,100.0,4.36,0.0,70.0,⬆ Boost CPU,-8.594,-481.842,RL (Q-Learning),9,0
84,10:25:58,100.0,5.22,0.0,70.0,⬆ Boost Memory,-6.5797,-488.4217,RL (Q-Learning),10,0
85,10:25:59,100.0,4.62,28.6,70.0,⬇ Reduce CPU,-8.5897,-497.0114,RL (Q-Learning),9,0
86,10:26:01,100.0,6.44,28.6,70.0,⬆ Boost Memory,-6.5593,-503.5707,RL (Q-Learning),11,0
87,10:26:02,100.0,5.68,0.0,70.1,⬇ Reduce Memory,-6.572,-510.1427,RL (Q-Learning),10,0
88,10:26:04,100.0,5.75,0.0,70.1,⏸ No Change,-6.5708,-516.7135,RL (Q-Learning),10,0
89,10:26:04,100.0,4.25,0.0,70.2,⬆ Boost CPU,-8.5958,-525.3093,RL (Q-Learning),9,0
90,10:26:06,100.0,5.91,0.0,70.2,⬆ Boost Memory,-6.5682,-531.8775,RL (Q-Learning),10,0
91,10:26:08,100.0,6.06,0.0,70.4,⬇ Reduce CPU,-6.5657,-538.4432,RL (Q-Learning),10,0
92,10:26:09,100.0,5.21,0.0,70.3,⬇ Reduce Memory,-6.5798,-545.023,RL (Q-Learning),10,0
93,10:26:11,100.0,5.67,0.0,70.5,⏸ No Change,-6.5722,-551.5952,RL (Q-Learning),10,0
94,10:26:12,100.0,7.78,0.0,70.6,⬆ Boost Memory,-6.537,-558.1322,RL (Q-Learning),11,0
95,10:26:14,100.0,6.3,0.0,70.6,⏸ No Change,-6.5617,-564.6939,RL (Q-Learning),10,0
96,10:26:15,98.48,2.42,0.0,70.6,⬇ Reduce Memory,-8.601,-573.2949,RL (Q-Learning),9,0
97,10:26:17,92.72,3.76,0.0,70.8,⬇ Reduce CPU,-8.4827,-581.7776,RL (Q-Learning),13,0
98,10:26:18,94.47,3.98,0.0,70.7,⬆ Boost CPU,-8.5082,-590.2858,RL (Q-Learning),12,0
99,10:26:20,93.37,5.81,0.0,70.6,⬆ Boost Memory,-6.4593,-596.7451,RL (Q-Learning),14,0
100,10:26:21,85.58,7.02,0.0,70.6,⬇ Reduce CPU,-1.3093,-598.0544,RL (Q-Learning),33,0
